sample_id,group,label,ABCA13,ABCA3,ACADL,ACSL1,ACTG2,ACVRL1,ADGB,ADH7,ADM,AFF3,AGBL2,AGER,AK7,ALOX15,AMPD1,ANK2,ANKRD1,ANKRD36B,APLNR,ARMC2,ARMC3,ARMC4,ASPA,ASPN,BPIFA1,BPIFB1,BTNL9,C10ORF107,C11ORF70,C11ORF88,C12ORF75,C1ORF110,C1ORF192,C1ORF194,C1ORF87,C20ORF26,C20ORF85,C6,C6ORF118,C6ORF165,C7ORF63,C9ORF117,C9ORF135,CACNA2D2,CAP2,CAPN13,CAPS,CAPS2,CAPSL,CASC1,CASQ2,CBS,CCDC11,CCDC113,CCDC141,CCDC146,CCDC17,CCDC39,CCDC60,CCDC80,CCL13,CCL18,CD163,CD1C,CD24,CD274,CDH2,CDH3,CDHR3,CERKL,CFH,CHI3L2,CHST9,CLCA2,CLDN1,CLDN8,CLEC4D,CLEC4E,CLIC6,CNTN3,COL14A1,COL15A1,COL17A1,COL1A1,COL1A2,COL3A1,COL6A3,COMP,CP,CPA3,CPB2,CRISPLD1,CRTAC1,CSF3R,CSRNP1,CTSK,CWH43,CXCL13,CXCL14,CXORF22,CYP24A1,DCDC1,DCLK1,DES,DIO2,DLEC1,DNAAF1,DNAH10,DNAH11,DNAH12,DNAH3,DNAH5,DNAH6,DNAH7,DNAH9,DNAI1,DNAJA4,DNALI1,DPY19L2P2,DSC3,DTHD1,DUOX1,DZIP3,ECM2,EFCAB1,EFCAB10,EFHB,EFHC1,EFHC2,ENKUR,EPC1,EPHA3,F2RL3,FAM13C,FAM154B,FAM183A,FAM216B,FAM81B,FAM83D,FANK1,FAP,FASN,FCN3,FGA,FGF14,FGG,FIBIN,FIGF,FKBP5,FLT1,FMO5,FNDC1,FPR1,FPR2,GEM,GLDN,GLT1D1,GLT8D2,GOLM1,GPR4,GPR97,GPX3,GPX8,GRASP,GRIA1,GSTA1,GXYLT2,HAS2,HDC,HECW2,HHIP,HHLA2,HIF3A,HMCN1,HMGCS1,HP,HPGDS,HPSE2,HSD17B13,HSD17B6,HSPA4L,HYDIN,ID1,IGF1,IGJ,IL13RA2,IL18R1,IL18RAP,IL1R2,IL1RL1,IL5RA,IL7R,INMT,IQCG,IQUB,ITGA10,ITGB8,ITLN2,KCNRG,KIAA1324,KIAA1377,KIAA1407,KLHL13,KRT15,KRT5,LAMP5,LEPREL1,LINC00312,LPPR4,LRP2,LRRC17,LRRC32,LRRC46,LRRC48,LRRC6,LRRIQ1,LRRN1,LRRN4,LTBP1,MAP1A,MDH1B,MFSD2A,MGAM,MME,MMP1,MMP13,MMP7,MNS1,MORN5,MS4A15,MS4A2,MSMB,MT1JP,MT1M,MT1X,MUC16,MUC4,MUC5B,MXRA5,MYB,MYH11,MYOCD,NAALADL2,NECAB1,NEK10,NEK11,NEK5,NELL2,NME5,NPR1,NRP2,OGN,ORM1,P2RY1,PACRG,PAMR1,PAPSS2,PCDH7,PDE7B,PDGFRA,PEBP4,PFN2,PGC,PGM5,PIH1D2,PIP,PLA2G1B,PLA2G4F,PLEKHG7,PLLP,PLN,POSTN,PPAP2C,PPIL6,PROK2,PROM1,PRSS12,PRUNE2,PSD3,PTCHD4,PTGFRN,PTPRB,PTX3,RASSF9,RGS22,RNASE2,ROBO2,ROPN1L,RP1,RPGRIP1L,RSPH1,RSPH4A,RTKN2,RXFP1,S100A12,S100A8,S100A9,S1PR1,SCGB1A1,SCGB3A1,SCGB3A2,SCN1A,SDR16C5,SEMA3D,SERPINA3,SERPINB3,SERPINB5,SERPIND1,SERPINE1,SERPINI2,SFRP2,SFRP4,SFTA2,SIX1,SIX4,SLAMF7,SLC11A1,SLC18A2,SLC19A3,SLC27A2,SLC39A8,SLC44A4,SLC6A14,SLC6A4,SLCO2A1,SLCO4A1,SLCO4C1,SLFN13,SLITRK6,SLN,SMAD6,SNTN,SOX2,SPA17,SPAG17,SPAG6,SPATA17,SPATA18,SPEF2,SPP1,SPRY4,ST6GALNAC1,STK33,STOML3,STOX1,SULF1,SULT1B1,SYNPO2,SYTL2,TDO2,TEKT1,TEX9,TGFB3,THBS1,THY1,TMEM100,TMEM2,TMEM212,TMEM232,TMEM45A,TMEM67,TMPRSS4,TNC,TNFRSF19,TP63,TPPP3,TRIM2,TRIM29,TSGA10,TSPAN1,TTC18,TTC25,TTN,UBXN10,VCAM1,VIPR1,VNN2,VSIG1,VTCN1,VWA3A,VWA3B,WDR16,WDR49,WDR63,WDR65,WDR66,WDR78,WDR96,ZBBX,ZBTB16,ZNF385B,ZNF385D,ZNF521
GSM2433098,IPF,1,2362,20154,552,25958,13272,11810,958,1508,1870,640,1192,3730,1698,1680,268,3028,2506,334,1122,978,2144,1378,328,14918,470,80902,2068,1042,1598,1890,1884,580,1466,1624,1298,480,4796,2526,1064,1060,1170,2024,830,3298,888,5594,18300,498,2136,852,740,852,1484,2768,238,3550,4252,1072,592,22660,4310,60102,58466,190,19788,1482,486,5798,6206,586,38924,1664,2472,5666,7104,552,130,720,8002,442,19356,10144,7974,360124,392150,711996,155240,8902,8676,5712,438,564,534,3282,3978,9600,358,858,6328,96,1594,16,2000,23556,1620,2756,3384,2644,1310,2374,3064,3400,2372,1182,3230,1864,5424,3428,570,3548,1028,10402,3166,2860,3240,368,882,5652,1196,1866,1588,896,6730,550,1704,1664,3310,1592,1752,1454,4622,11178,11152,428,1212,2626,2448,302,47126,4360,1224,2280,4992,1528,3316,4332,92,2084,8554,1474,282,59400,5446,1874,198,3944,422,896,1316,2424,440,1404,938,14122,3468,3304,642,1058,1028,746,948,3064,8276,8304,117164,498,3098,666,1412,2754,1572,2474,12962,3024,412,912,2276,30,494,3378,1646,1370,544,9424,47868,306,1444,338,554,616,1784,18226,2426,1504,772,906,1392,226,18884,4590,1064,3904,250,974,24798,2108,11252,1278,1004,672,592,10618,92,6664,24028,5368,8644,19180,10546,704,47370,384,474,302,440,1710,296,780,1258,3150,8088,3810,128,296,764,1082,9638,2236,558,18918,2492,5724,16082,1890,674,610,326,1186,568,2058,2190,36154,2460,1810,98,2952,2274,3326,3446,330,8034,4514,4834,368,1248,248,3438,1458,278,944,2600,2150,284,128,510,5268,12504,6542,131462,37218,20800,226,2004,598,24234,11156,4128,1056,19316,212,12030,4262,3348,1116,996,3526,7412,1716,720,2718,9168,10296,11184,1406,11798,3154,798,2330,1606,28,2934,4458,1910,1692,2104,3430,618,3642,1286,17424,4026,5070,1974,1068,856,8302,70,6884,4384,2532,2440,518,2448,86888,23234,3680,13650,570,1104,5090,1338,4742,36950,6262,2652,16216,6502,5904,842,26620,1704,1612,2140,3004,4820,4488,374,1280,992,1452,2098,1440,648,990,1668,2556,2454,3908,1820,4160,510,160,1234
GSM2433099,IPF,1,1190,28210,644,17392,15948,9346,354,138,1488,744,406,8708,576,976,374,2530,1056,400,1014,496,596,502,446,12018,488,18222,1560,422,422,614,1382,64,614,434,358,234,1254,1130,302,434,922,584,250,5278,1112,1274,4294,282,448,304,824,474,420,994,700,1222,1190,724,208,16344,2840,34146,30944,510,12226,1358,1108,3366,1516,340,26638,2590,642,424,2720,208,64,532,5700,452,34472,9132,1872,119992,167818,222590,127104,5804,4900,20146,562,658,1460,3912,6066,8286,130,450,2468,78,314,28,1968,42912,1386,1010,868,1046,1168,844,962,2884,1120,864,1634,512,2590,1376,276,550,728,4824,2082,5420,1034,120,276,2670,416,610,1990,2190,1454,1122,862,398,1728,506,2156,406,1394,15288,6464,698,774,5586,2194,254,59228,4060,2320,2082,2028,2014,3292,3780,140,1614,4142,452,186,34720,3140,2976,764,1162,512,348,2382,2134,1130,1326,1308,18616,5640,1956,1624,1208,1078,1164,430,1948,3738,9224,310318,1424,2076,236,560,2732,604,3516,28238,1326,224,804,1484,16,164,1580,1036,850,546,2394,2864,288,1454,342,1216,950,1006,4606,686,714,298,654,754,634,19872,2530,432,4208,342,2226,2554,526,7114,666,238,374,4076,434,72,2794,11166,1494,3718,2708,10422,866,95622,1784,452,502,228,874,168,768,288,2772,6564,4660,184,564,212,1416,7922,2770,592,16260,2298,2980,21564,4360,232,168,216,2442,238,1308,6652,26380,884,726,48,1182,1814,4608,3520,404,6810,9982,1198,366,722,88,3618,364,176,592,1134,954,570,310,106,2414,6206,5874,69556,23346,49892,620,2564,2118,6410,330,224,2230,8792,64,12370,2586,2548,336,536,2812,6446,3918,918,430,12098,3776,3774,2166,8656,1352,1146,1406,720,496,3480,1356,398,534,806,992,218,2314,790,5966,4318,1960,748,388,270,5572,120,20980,4868,990,700,336,2968,41678,10162,10648,7056,196,440,2784,976,1078,29536,5570,604,7054,5998,1190,422,5006,622,434,3454,1638,1444,3632,452,2038,246,564,632,460,240,378,562,692,908,1600,578,10368,1160,218,1774
GSM2433100,IPF,1,1470,21540,860,11880,5240,8714,336,90,756,944,426,20294,720,1580,58,1402,3166,344,1308,462,762,744,200,7392,1726,16744,3684,444,384,550,718,244,628,460,476,238,1202,852,452,470,596,570,198,5918,484,714,5634,256,566,332,462,516,492,1200,680,1564,1056,710,222,9628,570,5920,17076,224,10462,1974,400,1246,2630,400,15386,1398,870,630,1566,190,244,1002,2742,204,10182,2968,722,53906,95332,101262,48966,1536,2166,3084,1424,574,1276,4208,6706,2962,102,728,1126,90,374,24,914,5940,620,1060,938,1442,1058,1020,1370,3334,998,1040,1930,576,2084,1436,222,134,922,5182,1828,2640,1292,136,596,2850,390,732,1424,1066,4466,684,836,432,1958,524,570,458,1160,7750,8324,954,736,10948,1626,250,16992,3298,1376,1106,3674,1542,2810,2210,226,920,2528,736,392,23196,1756,2724,744,1868,204,248,332,3616,580,328,1428,8628,3744,820,360,602,240,788,270,2082,5124,2280,57800,268,3608,616,386,16772,498,4004,11232,1148,252,822,980,388,178,900,1022,812,278,728,766,270,1780,350,836,1062,576,2856,1036,710,400,700,600,574,8598,1442,388,3056,500,2888,566,104,1712,518,250,586,476,80,52,1054,2912,2126,1984,4956,4302,344,28080,266,270,278,256,712,202,856,392,2546,3516,2680,84,406,296,822,9122,1190,280,7166,1404,2216,10998,1098,252,78,304,2310,230,1484,1574,11606,582,858,268,968,1056,1330,2236,278,3418,7390,728,184,576,84,3002,366,214,576,1282,1002,4064,376,514,4744,9004,5322,58104,15060,2864,706,2332,526,1692,2080,118,566,4264,100,4592,5122,2176,204,414,2884,4664,1180,888,700,13644,3122,2692,6906,10288,1074,2370,1446,822,44,4774,1416,424,514,786,1158,206,2336,906,492,4670,1060,758,360,388,5826,130,5478,2824,214,860,238,1478,36244,6324,12452,9940,240,450,1320,776,484,8632,3344,352,5870,2700,460,448,4974,750,506,4202,1390,2130,7686,1102,268,150,498,868,628,258,450,790,852,918,1790,724,3180,1014,132,844
GSM2433101,IPF,1,940,19596,544,20342,17042,11926,394,74,6836,506,300,12832,592,894,154,2858,3310,434,404,434,746,438,332,7342,24,2482,932,394,472,682,1646,58,708,408,382,224,1064,1032,322,412,1596,720,316,2970,832,708,4286,306,364,254,820,636,336,946,282,1432,852,786,146,10268,1994,16762,26758,664,8722,2574,1254,3250,1596,334,26068,3850,504,294,4614,230,364,1286,3498,232,17960,10536,1244,61490,98316,116858,82332,3016,4608,11374,494,378,1060,7408,7850,4910,174,5098,3630,78,398,26,1402,30686,1556,920,766,1126,1124,746,854,3078,830,962,1322,518,3180,1366,236,308,870,3320,1672,2812,1006,118,352,2518,496,618,2378,1576,2920,328,520,410,1790,472,2142,304,1530,7724,10834,1302,620,5522,1084,100,10176,7652,500,1214,8846,4402,2772,1736,612,1258,4242,1794,1812,30662,2064,1618,512,942,292,2298,2882,2220,762,460,250,13472,6244,2016,1144,866,322,844,478,1706,4480,13878,121892,2684,3570,1464,2600,12286,480,4976,6566,1184,146,758,1582,38,114,1332,894,786,454,950,1122,458,2164,1160,378,1404,480,7518,766,604,394,732,804,758,17496,1752,334,3582,1210,3122,4910,478,7570,602,180,270,1334,54,170,3104,7390,274,3000,1558,7788,382,57948,2278,304,518,200,830,154,914,342,1976,6464,3062,80,496,230,464,8728,2468,1232,13012,1580,2222,7058,2004,210,46,248,726,204,804,3808,26880,750,700,1176,1256,1114,4476,2538,294,5808,8136,29710,298,534,318,1212,312,88,688,1078,824,812,152,2626,20724,37910,8318,42826,8868,21056,558,3128,750,11824,118,194,2218,33820,64,11546,2392,2216,282,420,6176,6614,2168,818,408,19298,2486,10084,1346,10258,1012,1516,1704,770,252,2070,888,260,516,1046,1176,232,2362,712,3980,5208,1170,624,190,206,10094,202,19350,6016,1336,660,422,4210,333912,14630,8528,14564,248,420,1966,954,630,58478,3484,402,5272,4344,532,414,3938,778,504,3682,1028,4636,2162,2880,1674,74,420,642,478,210,438,540,750,922,1318,702,996,480,718,1274
GSM2433102,IPF,1,1450,17632,298,15724,36662,5332,532,254,2114,594,678,4442,1086,1166,338,4816,1402,480,2304,602,1148,1080,390,23430,3472,72636,524,584,924,1232,2494,282,1086,502,540,336,2784,1604,666,784,1094,1156,446,4328,1238,4514,9278,348,1056,524,1826,1434,878,1730,180,2312,2160,950,398,63724,2580,16292,26506,364,12856,820,1082,5002,3606,440,30264,1550,1176,1914,5118,230,156,330,7856,512,58500,27828,3780,900598,785536,1032076,231014,6150,7208,11594,268,1470,966,4130,3706,40670,222,4202,7084,50,2410,32,3058,57436,2894,1744,1860,1956,944,1682,1936,3836,1228,1002,2210,1104,3578,2120,344,1562,878,5820,2694,4574,2358,212,442,3928,562,1068,2302,1880,718,1252,1542,858,2476,872,3610,906,9428,15360,1486,334,1050,2700,2868,124,16168,3246,1140,5390,2848,802,5580,962,176,4088,9744,1292,516,30596,8838,1522,164,3248,1490,1136,764,824,564,326,470,14980,4562,5416,792,1990,834,848,668,1844,2086,22014,189512,982,1864,742,696,730,770,2540,8484,2060,324,704,1828,30,306,3482,1446,1174,986,5658,13062,336,1004,992,1124,518,1272,8386,1744,948,556,728,1662,578,30956,4572,780,3284,274,1054,24448,1180,16418,916,456,416,1316,5644,52,1728,7250,1470,8742,25096,38346,374,115370,788,518,602,350,1284,270,1280,858,2220,8800,5896,120,200,520,2592,7036,5840,2022,21376,1154,5686,17242,3720,352,72,102,1314,382,640,6358,142556,2500,1224,184,2874,1520,6038,4624,518,15274,5208,2282,582,1310,196,1936,728,204,822,2634,1336,314,66,328,4814,11204,4150,97194,69078,38482,316,2502,1250,20482,3478,1182,2162,10810,110,41542,28658,2720,702,574,5286,5338,2642,460,1006,9656,6150,5664,96,8608,280,910,2058,628,214,658,2616,954,1022,790,2034,342,4688,1122,16602,3376,3298,1382,168,458,54600,140,19568,7732,2344,1546,504,4852,126410,41874,866,7366,358,648,8530,1246,2682,43374,6628,1626,9356,6584,2284,612,11742,1026,904,1702,1750,4930,636,650,140,422,916,1254,956,318,610,938,2000,1378,2564,1040,2520,726,686,3148
GSM2433103,IPF,1,760,7210,298,4750,10430,3406,352,112,5228,340,248,4406,480,440,366,6240,84,290,2848,362,494,390,258,9300,306,32340,228,252,412,354,1048,144,514,368,308,224,1074,718,192,380,852,456,214,2278,828,2366,4282,120,456,290,530,270,296,870,214,1028,1040,486,142,24172,1124,13020,7562,604,10104,1016,950,2646,1602,348,25700,698,710,234,4104,78,34,94,3600,246,31898,15118,1620,124674,156476,191122,91946,4026,4840,6894,226,728,556,1586,6160,6834,240,1348,3882,58,844,18,1664,19044,1976,634,592,960,652,732,892,2020,814,832,1014,394,2622,1506,144,608,612,2210,1472,3488,894,102,264,2410,462,540,1424,2796,156,802,558,404,1320,396,920,396,2080,4278,2788,54,732,650,322,256,1594,7688,534,2036,1182,172,11834,618,88,1280,3576,964,318,11526,2444,1818,374,590,348,3088,1816,584,262,356,156,11130,3164,794,840,1284,204,628,516,1330,1272,6958,171080,782,758,218,140,682,508,1594,5036,992,158,374,1700,20,110,730,766,658,798,2426,4414,602,1318,476,1404,192,1064,7800,470,500,310,518,866,382,16166,2880,316,1536,70,1196,4456,828,12282,604,216,492,1846,612,2,154,840,1224,3108,4044,11358,278,51668,1114,306,278,170,616,138,568,374,1288,4232,3810,64,100,204,1626,4022,1932,782,5182,918,2136,12838,2312,176,84,134,590,208,318,1670,39992,948,588,86,1202,842,2404,2712,406,7052,3852,862,304,510,58,1972,336,110,582,1056,816,806,150,108,1598,2992,3618,29570,26796,16206,194,666,1228,3580,228,586,2602,35208,68,17176,8020,1410,460,648,2942,2964,2316,248,462,4548,2898,1778,638,8084,636,596,1420,300,122,970,1152,520,396,448,1000,216,1748,622,3792,1952,1166,624,266,222,10448,16,9288,4128,1026,636,348,3444,81222,18712,2390,7376,132,290,2760,804,1186,26712,5870,820,9760,5196,808,342,4902,458,444,2066,1526,5658,762,266,632,274,440,430,428,174,340,432,732,770,1336,648,66,442,466,1772
GSM2433104,IPF,1,946,40098,916,25758,12634,12224,420,68,2684,690,372,14306,710,728,62,2068,2262,430,628,478,920,524,260,12110,62,12180,1302,612,680,710,1462,98,738,386,348,246,646,1328,382,480,782,666,276,5164,810,1162,4872,352,622,490,850,820,594,1242,768,1798,1306,790,166,12292,3314,35804,53340,414,9966,1368,1008,3404,2462,512,41776,2718,700,208,4676,206,178,594,3290,404,17632,10844,1396,86312,134134,258492,105442,5140,6652,10588,1520,642,966,3832,3168,6430,186,812,2044,78,300,18,1580,26864,840,698,884,1144,868,828,1048,3484,776,1078,1332,434,2450,1722,182,186,744,7970,1986,4632,1468,136,410,2952,598,786,1998,734,5474,840,852,400,1662,682,2012,432,1840,16038,9974,702,628,4316,714,60,26856,5194,1120,1694,5622,2576,3420,4678,254,1352,5162,512,336,34956,3578,1498,690,1334,234,1070,2224,3042,670,1652,802,15018,10120,3994,1422,778,108,818,560,1466,4284,14042,29470,1568,1788,714,942,3296,378,3970,14036,1398,224,1018,1808,88,198,822,1038,786,466,902,874,482,2046,622,542,2020,866,6588,816,660,456,846,834,996,15254,2032,354,5782,376,3816,1906,90,6530,660,264,352,752,642,94,2768,14308,154,1764,2924,5042,384,46180,838,416,400,200,922,152,780,532,3518,7788,4538,398,794,324,1568,9776,1900,680,15476,1538,3240,9980,2344,250,42,534,3404,146,1648,3346,28940,752,944,232,1292,738,3362,3364,552,6756,11688,1358,322,802,184,1282,346,138,708,1186,1018,800,298,1338,11340,17116,7300,83060,17592,8772,1022,5570,1542,8856,434,88,4548,12322,72,16330,4440,3688,214,450,1410,10624,2182,806,422,21836,3772,11192,3290,12340,3074,3616,1482,966,524,4536,1342,380,812,800,1254,346,2490,902,5434,2550,1460,884,306,344,7396,132,9410,4114,1440,904,360,2212,38208,10354,20552,12504,186,548,2608,1098,392,17752,4946,200,8966,6598,462,472,4424,666,468,3444,1262,2394,5122,790,1376,146,554,656,528,342,590,552,1056,1330,1888,892,3552,1206,202,1630
GSM2433105,IPF,1,92,30256,1594,13358,7854,8194,22,0,1612,1296,86,30410,126,28,136,6126,2660,586,1054,458,34,54,378,3536,0,158,3040,40,160,12,616,24,318,26,6,42,24,132,16,58,1242,118,8,10092,556,474,500,192,26,78,588,742,42,198,832,764,156,566,24,5862,4998,54484,21536,272,5886,3016,484,1418,934,306,14584,3580,14,26,7544,14,148,430,1308,392,8488,3782,488,28996,57594,69956,48582,816,1186,6566,1676,240,1712,6022,15020,3878,0,652,1394,0,10,4,1778,19788,580,324,70,290,268,76,32,722,220,154,56,44,1390,1950,94,18,118,5744,1466,2844,108,38,26,2122,214,58,1706,1298,658,634,60,24,140,154,636,290,1156,7398,10264,392,558,2142,1830,292,5482,4486,1316,316,2206,1090,7514,2170,280,1082,2324,1066,418,41998,1220,4316,954,56,140,5394,1136,2446,1476,306,1042,7628,12688,282,1878,516,44,2368,266,290,7296,3324,43698,334,4164,970,176,8108,158,5148,13382,708,26,1016,2384,420,90,486,998,1120,326,218,12,170,3110,1288,628,1702,434,9728,40,278,214,86,292,1008,9654,822,96,6856,462,6984,40,14,3272,234,8,724,1448,12,22,702,1296,28,168,1516,2794,232,38994,906,242,578,24,572,22,626,256,2938,4300,2040,140,312,60,642,9366,1500,520,7862,4406,1550,40574,3154,106,0,782,2246,66,1892,1966,8672,114,332,396,142,354,2964,2366,208,4140,7930,1974,166,274,82,1816,44,36,260,98,180,6782,560,612,7894,13210,5766,944,564,8116,1776,4414,1054,9624,2,10,606,14624,50,8540,2072,5066,28,104,1584,7220,3392,1586,166,22532,928,13962,7846,8290,1146,1334,1346,242,50,3692,66,4,388,62,62,54,954,656,1432,8052,252,442,10,14,2500,64,9018,3520,1436,18,122,2250,148054,3410,6532,11412,70,78,1052,742,26,10606,4012,248,7572,4098,116,190,984,404,178,8862,900,4606,5626,808,904,18,238,38,40,100,70,80,130,264,170,36,258,1510,168,948
