feature,overall_selection_count,overall_selection_frequency,lasso_logistic_selection_frequency,elastic_net_selection_frequency,linear_svm_selection_frequency,rbf_svm_selection_frequency,random_forest_selection_frequency,gradient_boosting_selection_frequency,mlp_small_selection_frequency,models_selecting_feature
ASPN,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
COL14A1,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
FNDC1,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
GPX3,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
HMCN1,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
KLHL13,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
NECAB1,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
PSD3,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
SLCO4A1,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
SYTL2,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
CSF3R,349,0.9971428571428571,0.98,1.0,1.0,1.0,1.0,1.0,1.0,7
CDH3,346,0.9885714285714285,0.98,0.96,0.98,1.0,1.0,1.0,1.0,7
PTGFRN,337,0.9628571428571429,0.88,0.9,0.96,1.0,1.0,1.0,1.0,7
GRASP,327,0.9342857142857143,0.8,0.88,0.86,1.0,1.0,1.0,1.0,7
LRRC17,320,0.9142857142857143,0.72,0.8,0.88,1.0,1.0,1.0,1.0,7
PDE7B,320,0.9142857142857143,0.8,0.76,0.84,1.0,1.0,1.0,1.0,7
CD24,315,0.9,0.74,0.76,0.84,0.98,1.0,0.98,1.0,7
CFH,312,0.8914285714285715,0.66,0.8,0.82,0.98,1.0,0.98,1.0,7
THY1,301,0.86,0.6,0.72,0.78,0.96,1.0,0.98,0.98,7
IL18RAP,296,0.8457142857142858,0.58,0.7,0.78,0.94,1.0,0.96,0.96,7
DIO2,291,0.8314285714285714,0.58,0.68,0.76,0.94,1.0,0.9,0.96,7
IL18R1,281,0.8028571428571428,0.56,0.7,0.74,0.84,1.0,0.84,0.94,7
DCLK1,280,0.8,0.52,0.68,0.76,0.86,1.0,0.84,0.94,7
NPR1,280,0.8,0.52,0.62,0.72,0.86,1.0,0.94,0.94,7
CNTN3,277,0.7914285714285715,0.52,0.62,0.74,0.86,1.0,0.86,0.94,7
MMP7,276,0.7885714285714286,0.52,0.66,0.76,0.84,1.0,0.82,0.92,7
CXCL14,272,0.7771428571428571,0.56,0.64,0.7,0.84,1.0,0.8,0.9,7
COL15A1,269,0.7685714285714286,0.54,0.66,0.72,0.78,1.0,0.76,0.92,7
S100A8,245,0.7,0.5,0.66,0.74,0.62,0.98,0.58,0.82,7
F2RL3,239,0.6828571428571428,0.46,0.56,0.7,0.64,0.98,0.66,0.78,7
PCDH7,239,0.6828571428571428,0.42,0.58,0.72,0.62,0.96,0.64,0.84,7
C12ORF75,237,0.6771428571428572,0.44,0.58,0.74,0.6,0.96,0.64,0.78,7
ANK2,222,0.6342857142857142,0.42,0.6,0.72,0.52,0.96,0.48,0.74,7
ID1,222,0.6342857142857142,0.44,0.56,0.7,0.52,0.98,0.52,0.72,7
HSPA4L,208,0.5942857142857143,0.4,0.54,0.7,0.4,1.0,0.44,0.68,7
PLLP,199,0.5685714285714286,0.34,0.54,0.66,0.4,0.98,0.4,0.66,7
PAPSS2,198,0.5657142857142857,0.36,0.56,0.66,0.36,1.0,0.38,0.64,7
COL1A1,190,0.5428571428571428,0.38,0.5,0.68,0.34,0.9,0.4,0.6,7
LRRN1,175,0.5,0.34,0.48,0.7,0.26,0.9,0.26,0.56,7
ACVRL1,171,0.48857142857142855,0.34,0.5,0.64,0.2,0.94,0.3,0.5,7
BTNL9,169,0.4828571428571429,0.3,0.48,0.64,0.32,0.82,0.34,0.48,7
TRIM2,169,0.4828571428571429,0.32,0.5,0.66,0.22,0.9,0.28,0.5,7
FMO5,168,0.48,0.34,0.48,0.66,0.24,0.84,0.28,0.52,7
HIF3A,168,0.48,0.26,0.46,0.7,0.3,0.8,0.36,0.48,7
MFSD2A,157,0.44857142857142857,0.32,0.44,0.64,0.24,0.78,0.24,0.48,7
GOLM1,154,0.44,0.3,0.44,0.64,0.18,0.82,0.26,0.44,7
S1PR1,147,0.42,0.28,0.46,0.62,0.18,0.82,0.24,0.34,7
HPSE2,144,0.4114285714285714,0.28,0.5,0.66,0.14,0.8,0.18,0.32,7
LTBP1,143,0.4085714285714286,0.28,0.44,0.64,0.18,0.72,0.24,0.36,7
CDH2,135,0.38571428571428573,0.3,0.44,0.64,0.16,0.7,0.14,0.32,7
FCN3,135,0.38571428571428573,0.22,0.48,0.64,0.2,0.7,0.18,0.28,7
COL3A1,133,0.38,0.28,0.46,0.66,0.14,0.68,0.16,0.28,7
CLEC4E,131,0.3742857142857143,0.26,0.44,0.66,0.18,0.66,0.16,0.26,7
CRTAC1,128,0.3657142857142857,0.26,0.42,0.64,0.12,0.7,0.16,0.26,7
COL17A1,127,0.3628571428571429,0.26,0.48,0.64,0.06,0.74,0.12,0.24,7
OGN,125,0.35714285714285715,0.28,0.44,0.66,0.1,0.68,0.12,0.22,7
SPATA18,125,0.35714285714285715,0.24,0.46,0.64,0.1,0.68,0.14,0.24,7
CP,121,0.3457142857142857,0.24,0.46,0.62,0.1,0.68,0.1,0.22,7
SULF1,120,0.34285714285714286,0.22,0.4,0.62,0.12,0.68,0.16,0.2,7
AFF3,113,0.32285714285714284,0.22,0.38,0.62,0.1,0.64,0.12,0.18,7
DUOX1,111,0.3171428571428571,0.22,0.4,0.62,0.1,0.6,0.1,0.18,7
PAMR1,109,0.31142857142857144,0.22,0.38,0.62,0.1,0.62,0.1,0.14,7
COMP,106,0.3028571428571429,0.24,0.38,0.6,0.08,0.62,0.04,0.16,7
IL13RA2,100,0.2857142857142857,0.22,0.4,0.62,0.04,0.58,0.04,0.1,7
CRISPLD1,99,0.28285714285714286,0.2,0.42,0.62,0.02,0.58,0.04,0.1,7
ITGB8,94,0.26857142857142857,0.2,0.4,0.62,0.04,0.54,0.02,0.06,7
TGFB3,91,0.26,0.22,0.38,0.58,0.04,0.48,0.06,0.06,7
HHLA2,89,0.2542857142857143,0.22,0.4,0.6,0.0,0.52,0.02,0.02,6
CCL13,87,0.24857142857142858,0.2,0.4,0.6,0.02,0.5,0.0,0.02,6
ITLN2,86,0.24571428571428572,0.2,0.38,0.6,0.0,0.52,0.02,0.0,5
FIBIN,84,0.24,0.2,0.34,0.56,0.02,0.52,0.02,0.02,7
CCDC80,84,0.24,0.2,0.38,0.6,0.0,0.5,0.0,0.0,4
KRT5,84,0.24,0.2,0.38,0.6,0.0,0.5,0.0,0.0,4
LRRC32,84,0.24,0.2,0.38,0.6,0.0,0.5,0.0,0.0,4
PTPRB,84,0.24,0.2,0.38,0.6,0.0,0.5,0.0,0.0,4
SCN1A,84,0.24,0.2,0.38,0.6,0.0,0.5,0.0,0.0,4
SYNPO2,84,0.24,0.2,0.38,0.6,0.0,0.5,0.0,0.0,4
TP63,84,0.24,0.2,0.38,0.6,0.0,0.5,0.0,0.0,4
WDR49,84,0.24,0.2,0.38,0.6,0.0,0.5,0.0,0.0,4
ZNF385B,84,0.24,0.2,0.38,0.6,0.0,0.5,0.0,0.0,4
CLDN1,81,0.23142857142857143,0.18,0.36,0.58,0.0,0.5,0.0,0.0,4
GPX8,80,0.22857142857142856,0.18,0.36,0.58,0.0,0.48,0.0,0.0,4
TMEM100,77,0.22,0.18,0.32,0.54,0.0,0.5,0.0,0.0,4
COL1A2,76,0.21714285714285714,0.16,0.36,0.56,0.0,0.44,0.0,0.0,4
SFRP4,75,0.21428571428571427,0.2,0.36,0.52,0.0,0.42,0.0,0.0,4
INMT,73,0.20857142857142857,0.16,0.32,0.52,0.0,0.46,0.0,0.0,4
GEM,72,0.2057142857142857,0.18,0.3,0.5,0.0,0.46,0.0,0.0,4
HDC,69,0.19714285714285715,0.16,0.3,0.48,0.0,0.44,0.0,0.0,4
MAP1A,68,0.19428571428571428,0.18,0.32,0.48,0.0,0.38,0.0,0.0,4
SMAD6,68,0.19428571428571428,0.16,0.3,0.5,0.0,0.4,0.0,0.0,4
SIX4,65,0.18571428571428572,0.18,0.36,0.42,0.0,0.34,0.0,0.0,4
FAP,61,0.1742857142857143,0.14,0.26,0.42,0.0,0.4,0.0,0.0,4
IL1RL1,61,0.1742857142857143,0.14,0.26,0.48,0.0,0.34,0.0,0.0,4
DTHD1,55,0.15714285714285714,0.14,0.28,0.36,0.0,0.32,0.0,0.0,4
VIPR1,55,0.15714285714285714,0.12,0.22,0.42,0.0,0.34,0.0,0.0,4
ACTG2,54,0.15428571428571428,0.14,0.22,0.38,0.0,0.34,0.0,0.0,4
CCDC146,50,0.14285714285714285,0.14,0.24,0.34,0.0,0.28,0.0,0.0,4
CTSK,49,0.14,0.18,0.26,0.3,0.0,0.24,0.0,0.0,4
MT1M,39,0.11142857142857143,0.08,0.16,0.3,0.0,0.24,0.0,0.0,4
TDO2,35,0.1,0.08,0.18,0.24,0.0,0.2,0.0,0.0,4
HYDIN,33,0.09428571428571429,0.1,0.14,0.22,0.0,0.2,0.0,0.0,4
SLCO2A1,29,0.08285714285714285,0.06,0.14,0.22,0.0,0.16,0.0,0.0,4
PEBP4,28,0.08,0.08,0.1,0.22,0.0,0.16,0.0,0.0,4
POSTN,25,0.07142857142857142,0.06,0.1,0.18,0.0,0.16,0.0,0.0,4
ABCA3,24,0.06857142857142857,0.04,0.1,0.18,0.0,0.16,0.0,0.0,4
CDHR3,23,0.06571428571428571,0.04,0.12,0.18,0.0,0.12,0.0,0.0,4
NELL2,23,0.06571428571428571,0.06,0.12,0.2,0.0,0.08,0.0,0.0,4
RGS22,22,0.06285714285714286,0.06,0.12,0.12,0.0,0.14,0.0,0.0,4
ZBTB16,19,0.054285714285714284,0.02,0.08,0.16,0.0,0.12,0.0,0.0,4
COL6A3,16,0.045714285714285714,0.02,0.04,0.12,0.0,0.14,0.0,0.0,4
SLAMF7,15,0.04285714285714286,0.02,0.08,0.12,0.0,0.08,0.0,0.0,4
SLC39A8,15,0.04285714285714286,0.06,0.08,0.1,0.0,0.06,0.0,0.0,4
TNC,15,0.04285714285714286,0.02,0.04,0.14,0.0,0.1,0.0,0.0,4
CLIC6,14,0.04,0.06,0.08,0.08,0.0,0.06,0.0,0.0,4
SPATA17,12,0.03428571428571429,0.02,0.08,0.08,0.0,0.06,0.0,0.0,4
TSPAN1,11,0.03142857142857143,0.04,0.06,0.08,0.0,0.04,0.0,0.0,4
EFHC2,10,0.02857142857142857,0.04,0.04,0.04,0.0,0.08,0.0,0.0,4
PRUNE2,10,0.02857142857142857,0.02,0.08,0.06,0.0,0.04,0.0,0.0,4
MNS1,10,0.02857142857142857,0.0,0.02,0.08,0.0,0.1,0.0,0.0,3
FAM83D,9,0.025714285714285714,0.04,0.0,0.06,0.0,0.08,0.0,0.0,3
LRRN4,7,0.02,0.02,0.04,0.04,0.0,0.04,0.0,0.0,4
MS4A15,7,0.02,0.0,0.02,0.06,0.0,0.06,0.0,0.0,3
PLA2G1B,7,0.02,0.0,0.02,0.06,0.0,0.06,0.0,0.0,3
RPGRIP1L,6,0.017142857142857144,0.02,0.02,0.02,0.0,0.06,0.0,0.0,4
SLC19A3,5,0.014285714285714285,0.02,0.0,0.04,0.0,0.04,0.0,0.0,3
DES,4,0.011428571428571429,0.0,0.02,0.02,0.0,0.04,0.0,0.0,3
AMPD1,3,0.008571428571428572,0.0,0.02,0.02,0.0,0.02,0.0,0.0,3
PLA2G4F,3,0.008571428571428572,0.0,0.02,0.02,0.0,0.02,0.0,0.0,3
TRIM29,3,0.008571428571428572,0.0,0.0,0.04,0.0,0.02,0.0,0.0,2
ZNF385D,3,0.008571428571428572,0.0,0.02,0.04,0.0,0.0,0.0,0.0,2
C20ORF85,2,0.005714285714285714,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2
MYH11,2,0.005714285714285714,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2
SNTN,2,0.005714285714285714,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2
SPAG6,2,0.005714285714285714,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2
TMEM45A,2,0.005714285714285714,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2
SIX1,1,0.002857142857142857,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1
SLN,1,0.002857142857142857,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1
VCAM1,1,0.002857142857142857,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1
