roc_auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1,tp,tn,fp,fn,model,fold_id,best_params,selected_feature_count
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,lasso_logistic,1,"{""clf__C"": 1.0, ""select__k"": 15}",15
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,2,"{""clf__C"": 0.3, ""select__k"": 30}",30
0.9958333333333333,0.9983333333333333,0.9411764705882353,0.9291666666666667,0.9583333333333334,0.9,0.9583333333333334,23,9,1,1,lasso_logistic,3,"{""clf__C"": 0.3, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,lasso_logistic,4,"{""clf__C"": 1.0, ""select__k"": 100}",100
0.9956521739130435,0.9981884057971013,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,lasso_logistic,5,"{""clf__C"": 1.0, ""select__k"": 30}",30
0.9791666666666667,0.9909075616412573,0.8529411764705882,0.8958333333333333,0.7916666666666666,1.0,0.8837209302325582,19,10,0,5,lasso_logistic,6,"{""clf__C"": 0.03, ""select__k"": 15}",15
0.9916666666666667,0.9965972222222221,0.9411764705882353,0.9583333333333333,0.9166666666666666,1.0,0.9565217391304348,22,10,0,2,lasso_logistic,7,"{""clf__C"": 1.0, ""select__k"": 100}",100
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,lasso_logistic,8,"{""clf__C"": 0.3, ""select__k"": 100}",100
0.9958333333333333,0.9983333333333333,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,9,"{""clf__C"": 0.3, ""select__k"": 30}",30
1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,10,0,0,lasso_logistic,10,"{""clf__C"": 1.0, ""select__k"": 15}",15
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,11,"{""clf__C"": 0.3, ""select__k"": 15}",15
0.9791666666666667,0.992816091954023,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,12,"{""clf__C"": 0.03, ""select__k"": 15}",15
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,13,"{""clf__C"": 0.3, ""select__k"": 50}",50
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,lasso_logistic,14,"{""clf__C"": 1.0, ""select__k"": 50}",50
1.0,1.0,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,lasso_logistic,15,"{""clf__C"": 0.3, ""select__k"": 30}",30
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,lasso_logistic,16,"{""clf__C"": 0.1, ""select__k"": 30}",30
0.9833333333333334,0.9940476190476191,0.9411764705882353,0.9583333333333333,0.9166666666666666,1.0,0.9565217391304348,22,10,0,2,lasso_logistic,17,"{""clf__C"": 0.1, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,lasso_logistic,18,"{""clf__C"": 1.0, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,lasso_logistic,19,"{""clf__C"": 1.0, ""select__k"": 15}",15
0.9956521739130435,0.9981884057971013,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,lasso_logistic,20,"{""clf__C"": 0.1, ""select__k"": 30}",30
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,lasso_logistic,21,"{""clf__C"": 0.1, ""select__k"": 15}",15
0.9916666666666667,0.9967948717948718,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,22,"{""clf__C"": 0.3, ""select__k"": 30}",30
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,23,"{""clf__C"": 1.0, ""select__k"": 30}",30
0.9958333333333333,0.9983333333333333,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,24,"{""clf__C"": 0.1, ""select__k"": 15}",15
1.0,1.0,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,lasso_logistic,25,"{""clf__C"": 0.1, ""select__k"": 15}",15
0.9791666666666667,0.992816091954023,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,26,"{""clf__C"": 0.3, ""select__k"": 15}",15
0.9958333333333333,0.9983333333333333,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,27,"{""clf__C"": 0.3, ""select__k"": 15}",15
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,28,"{""clf__C"": 0.3, ""select__k"": 50}",50
0.9916666666666667,0.9965972222222221,0.9705882352941176,0.95,1.0,0.9,0.9795918367346939,24,9,1,0,lasso_logistic,29,"{""clf__C"": 0.03, ""select__k"": 15}",15
0.982608695652174,0.9928985507246376,0.9393939393939394,0.9565217391304348,0.9130434782608695,1.0,0.9545454545454546,21,10,0,2,lasso_logistic,30,"{""clf__C"": 0.03, ""select__k"": 15}",15
0.9958333333333333,0.9983333333333333,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,31,"{""clf__C"": 0.1, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,lasso_logistic,32,"{""clf__C"": 1.0, ""select__k"": 100}",100
0.9875,0.9950587606837606,0.9411764705882353,0.9583333333333333,0.9166666666666666,1.0,0.9565217391304348,22,10,0,2,lasso_logistic,33,"{""clf__C"": 1.0, ""select__k"": 30}",30
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,lasso_logistic,34,"{""clf__C"": 0.3, ""select__k"": 100}",100
1.0,1.0,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,lasso_logistic,35,"{""clf__C"": 1.0, ""select__k"": 100}",100
0.9958333333333333,0.9983333333333333,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,36,"{""clf__C"": 0.3, ""select__k"": 100}",100
0.9916666666666667,0.9967948717948718,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,37,"{""clf__C"": 1.0, ""select__k"": 100}",100
0.9916666666666667,0.9965972222222221,0.9705882352941176,0.95,1.0,0.9,0.9795918367346939,24,9,1,0,lasso_logistic,38,"{""clf__C"": 1.0, ""select__k"": 15}",15
0.9958333333333333,0.9983333333333333,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,39,"{""clf__C"": 0.3, ""select__k"": 30}",30
1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,10,0,0,lasso_logistic,40,"{""clf__C"": 0.3, ""select__k"": 50}",50
0.9958333333333333,0.9983333333333333,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,41,"{""clf__C"": 1.0, ""select__k"": 100}",100
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,42,"{""clf__C"": 0.1, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,lasso_logistic,43,"{""clf__C"": 0.3, ""select__k"": 50}",50
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,44,"{""clf__C"": 0.3, ""select__k"": 30}",30
0.991304347826087,0.9962980466288593,0.9393939393939394,0.9565217391304348,0.9130434782608695,1.0,0.9545454545454546,21,10,0,2,lasso_logistic,45,"{""clf__C"": 0.1, ""select__k"": 15}",15
0.9916666666666667,0.9965972222222221,0.9411764705882353,0.9291666666666667,0.9583333333333334,0.9,0.9583333333333334,23,9,1,1,lasso_logistic,46,"{""clf__C"": 0.3, ""select__k"": 50}",50
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,47,"{""clf__C"": 0.1, ""select__k"": 30}",30
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,48,"{""clf__C"": 1.0, ""select__k"": 50}",50
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,lasso_logistic,49,"{""clf__C"": 0.1, ""select__k"": 15}",15
0.9956521739130435,0.9981884057971013,0.9393939393939394,0.9565217391304348,0.9130434782608695,1.0,0.9545454545454546,21,10,0,2,lasso_logistic,50,"{""clf__C"": 1.0, ""select__k"": 100}",100
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,1,"{""clf__C"": 0.3, ""clf__l1_ratio"": 0.2, ""select__k"": 30}",30
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,elastic_net,2,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 30}",30
0.9958333333333333,0.9983333333333333,0.9411764705882353,0.9291666666666667,0.9583333333333334,0.9,0.9583333333333334,23,9,1,1,elastic_net,3,"{""clf__C"": 0.1, ""clf__l1_ratio"": 0.8, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,4,"{""clf__C"": 0.1, ""clf__l1_ratio"": 0.2, ""select__k"": 50}",50
0.991304347826087,0.9965217391304347,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,elastic_net,5,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 30}",30
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,6,"{""clf__C"": 0.1, ""clf__l1_ratio"": 0.2, ""select__k"": 50}",50
1.0,1.0,0.9411764705882353,0.9583333333333333,0.9166666666666666,1.0,0.9565217391304348,22,10,0,2,elastic_net,7,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,8,"{""clf__C"": 1.0, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
0.9958333333333333,0.9983333333333333,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,elastic_net,9,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,10,0,0,elastic_net,10,"{""clf__C"": 1.0, ""clf__l1_ratio"": 0.2, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,11,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
0.9791666666666667,0.992816091954023,0.9117647058823529,0.8791666666666667,0.9583333333333334,0.8,0.9387755102040817,23,8,2,1,elastic_net,12,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.8, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,13,"{""clf__C"": 1.0, ""clf__l1_ratio"": 0.5, ""select__k"": 100}",100
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,14,"{""clf__C"": 0.3, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
1.0,1.0,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,elastic_net,15,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 50}",50
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,16,"{""clf__C"": 0.1, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
0.9916666666666667,0.9967948717948718,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,elastic_net,17,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.8, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,18,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 30}",30
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,19,"{""clf__C"": 0.3, ""clf__l1_ratio"": 0.8, ""select__k"": 100}",100
0.9956521739130435,0.9981884057971013,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,elastic_net,20,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.5, ""select__k"": 30}",30
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,21,"{""clf__C"": 0.1, ""clf__l1_ratio"": 0.8, ""select__k"": 100}",100
0.9916666666666667,0.9967948717948718,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,elastic_net,22,"{""clf__C"": 0.3, ""clf__l1_ratio"": 0.2, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,23,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 50}",50
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,24,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
1.0,1.0,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,elastic_net,25,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 15}",15
0.9916666666666667,0.9967948717948718,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,elastic_net,26,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,elastic_net,27,"{""clf__C"": 0.1, ""clf__l1_ratio"": 0.5, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,28,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.8, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,29,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 15}",15
0.9956521739130435,0.9981884057971013,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,elastic_net,30,"{""clf__C"": 0.1, ""clf__l1_ratio"": 0.8, ""select__k"": 15}",15
1.0,1.0,0.9705882352941176,0.95,1.0,0.9,0.9795918367346939,24,9,1,0,elastic_net,31,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.8, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,32,"{""clf__C"": 0.1, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
0.9916666666666667,0.9965972222222221,0.9411764705882353,0.9583333333333333,0.9166666666666666,1.0,0.9565217391304348,22,10,0,2,elastic_net,33,"{""clf__C"": 0.3, ""clf__l1_ratio"": 0.2, ""select__k"": 30}",30
1.0,1.0,0.9705882352941176,0.95,1.0,0.9,0.9795918367346939,24,9,1,0,elastic_net,34,"{""clf__C"": 1.0, ""clf__l1_ratio"": 0.8, ""select__k"": 100}",100
1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,10,0,0,elastic_net,35,"{""clf__C"": 1.0, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,36,"{""clf__C"": 0.3, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,elastic_net,37,"{""clf__C"": 0.3, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
1.0,1.0,0.9705882352941176,0.95,1.0,0.9,0.9795918367346939,24,9,1,0,elastic_net,38,"{""clf__C"": 0.3, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
0.9916666666666667,0.9967948717948718,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,elastic_net,39,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,10,0,0,elastic_net,40,"{""clf__C"": 1.0, ""clf__l1_ratio"": 0.8, ""select__k"": 15}",15
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,elastic_net,41,"{""clf__C"": 0.3, ""clf__l1_ratio"": 0.8, ""select__k"": 100}",100
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,42,"{""clf__C"": 0.3, ""clf__l1_ratio"": 0.5, ""select__k"": 100}",100
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,43,"{""clf__C"": 1.0, ""clf__l1_ratio"": 0.2, ""select__k"": 100}",100
0.9958333333333333,0.9983333333333333,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,elastic_net,44,"{""clf__C"": 1.0, ""clf__l1_ratio"": 0.5, ""select__k"": 30}",30
0.9956521739130435,0.9981884057971013,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,elastic_net,45,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.8, ""select__k"": 15}",15
0.9833333333333334,0.9940476190476191,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,elastic_net,46,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,47,"{""clf__C"": 0.3, ""clf__l1_ratio"": 0.2, ""select__k"": 50}",50
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,48,"{""clf__C"": 0.3, ""clf__l1_ratio"": 0.5, ""select__k"": 50}",50
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,elastic_net,49,"{""clf__C"": 1.0, ""clf__l1_ratio"": 0.2, ""select__k"": 50}",50
0.991304347826087,0.9965217391304347,0.9393939393939394,0.9565217391304348,0.9130434782608695,1.0,0.9545454545454546,21,10,0,2,elastic_net,50,"{""clf__C"": 0.03, ""clf__l1_ratio"": 0.2, ""select__k"": 30}",30
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,linear_svm,1,"{""clf__C"": 0.1, ""select__k"": 100}",100
1.0,1.0,0.9411764705882353,0.9583333333333333,0.9166666666666666,1.0,0.9565217391304348,22,10,0,2,linear_svm,2,"{""clf__C"": 0.03, ""select__k"": 100}",100
0.9958333333333333,0.9983333333333333,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,linear_svm,3,"{""clf__C"": 0.03, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,linear_svm,4,"{""clf__C"": 0.03, ""select__k"": 100}",100
0.9956521739130435,0.9981884057971013,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,linear_svm,5,"{""clf__C"": 0.1, ""select__k"": 100}",100
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,linear_svm,6,"{""clf__C"": 0.03, ""select__k"": 30}",30
1.0,1.0,0.9411764705882353,0.9583333333333333,0.9166666666666666,1.0,0.9565217391304348,22,10,0,2,linear_svm,7,"{""clf__C"": 0.03, ""select__k"": 100}",100
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,linear_svm,8,"{""clf__C"": 0.3, ""select__k"": 100}",100
0.9958333333333333,0.9983333333333333,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,linear_svm,9,"{""clf__C"": 0.03, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,10,0,0,linear_svm,10,"{""clf__C"": 0.3, ""select__k"": 100}",100
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,linear_svm,11,"{""clf__C"": 0.03, ""select__k"": 15}",15
0.9916666666666667,0.9967948717948718,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,linear_svm,12,"{""clf__C"": 0.3, ""select__k"": 100}",100
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,linear_svm,13,"{""clf__C"": 0.03, ""select__k"": 100}",100
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,linear_svm,14,"{""clf__C"": 1.0, ""select__k"": 100}",100
1.0,1.0,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,linear_svm,15,"{""clf__C"": 0.03, ""select__k"": 100}",100
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,linear_svm,16,"{""clf__C"": 0.03, ""select__k"": 100}",100
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,linear_svm,17,"{""clf__C"": 1.0, ""select__k"": 100}",100
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,linear_svm,18,"{""clf__C"": 0.03, ""select__k"": 30}",30
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,linear_svm,19,"{""clf__C"": 0.3, ""select__k"": 100}",100
0.9956521739130435,0.9981884057971013,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,linear_svm,20,"{""clf__C"": 0.03, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,linear_svm,21,"{""clf__C"": 0.1, ""select__k"": 100}",100
0.9916666666666667,0.9967948717948718,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,linear_svm,22,"{""clf__C"": 0.03, ""select__k"": 15}",15
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,linear_svm,23,"{""clf__C"": 0.03, ""select__k"": 50}",50
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,linear_svm,24,"{""clf__C"": 0.1, ""select__k"": 100}",100
1.0,1.0,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,linear_svm,25,"{""clf__C"": 0.03, ""select__k"": 15}",15
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,linear_svm,26,"{""clf__C"": 0.03, ""select__k"": 100}",100
1.0,1.0,0.9411764705882353,0.9583333333333333,0.9166666666666666,1.0,0.9565217391304348,22,10,0,2,linear_svm,27,"{""clf__C"": 0.03, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,linear_svm,28,"{""clf__C"": 0.03, ""select__k"": 100}",100
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,linear_svm,29,"{""clf__C"": 0.1, ""select__k"": 100}",100
0.9956521739130435,0.9981884057971013,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,linear_svm,30,"{""clf__C"": 0.03, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,linear_svm,31,"{""clf__C"": 0.1, ""select__k"": 100}",100
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,linear_svm,32,"{""clf__C"": 0.1, ""select__k"": 100}",100
